N,Nᵤ,δ_nS,duration,seed,method,TPRₑ,TPRᵢ,TPR,FPR,AUC,AUCₑ,AUCᵢ
400,100,0.25,600.0,3,fit_upstroke,0.971875,1.0,0.9775,0.05,0.9972000000000001,0.9964999999999999,1.0
400,100,0.25,600.0,3,STA_height,0.509375,0.5875,0.525,0.05,0.5337624999999999,0.5232656249999997,0.5757500000000003
400,100,0.25,600.0,3,STA_corr_2pass,0.978125,1.0,0.9825,0.03,0.998025,0.99753125,1.0
400,100,0.25,600.0,4,STA_height,0.496875,0.6875,0.535,0.05,0.5491874999999997,0.5131718749999996,0.6932499999999999
400,100,0.25,600.0,4,STA_corr_2pass,0.95,0.9875,0.9575,0.06,0.9850875,0.983703125,0.9906250000000001
400,100,0.25,600.0,4,fit_upstroke,0.95625,1.0,0.965,0.05,0.9958750000000001,0.994875,0.9998750000000001
400,100,0.25,600.0,5,STA_corr_2pass,0.9625,1.0,0.97,0.05,0.9768749999999998,0.9749218749999999,0.9846874999999999
400,100,0.25,600.0,5,fit_upstroke,0.975,1.0,0.98,0.05,0.9943250000000001,0.9929062500000003,1.0
400,100,0.25,600.0,5,STA_height,0.5,0.65,0.53,0.05,0.5582499999999996,0.5369687499999997,0.6433749999999998
1600,100,0.08,600.0,1,STA_corr_2pass,0.0,0.0,0.0,0.05,0.008287500000000001,0.010234375,0.0005000000000000001
1600,100,0.08,600.0,1,fit_upstroke,0.4578125,0.8375,0.53375,0.05,0.8154187500000003,0.7812656250000003,0.9520312500000004
1600,100,0.08,600.0,1,STA_height,0.1484375,0.36875,0.1925,0.05,0.39004687499999985,0.37937890625,0.43271875
1600,100,0.08,600.0,2,fit_upstroke,0.45390625,0.825,0.528125,0.05,0.8141125000000001,0.7807890624999999,0.9474062499999998
1600,100,0.08,600.0,2,STA_corr_2pass,0.00078125,0.0,0.000625,0.04,0.007965625,0.009957031249999998,0.0
1600,100,0.08,600.0,2,STA_height,0.1734375,0.36875,0.2125,0.05,0.3812374999999999,0.3748203125,0.40690624999999997
